Function1,Params1,Function2,Params2,Class Loss,Regress Loss
bilateralFilter,"(5, 75, 75)",blur,3,0.4048677984821169,0.5774726762583381
bilateralFilter,"(5, 75, 75)",blur,5,0.9454858136412344,0.7666783201067071
bilateralFilter,"(5, 75, 75)",blur,7,1.869274743847353,1.0545434754145773
bilateralFilter,"(9, 100, 100)",blur,3,1.763319022487849,1.035912447226675
bilateralFilter,"(9, 100, 100)",blur,5,2.0217099484154266,1.0578226713757766
bilateralFilter,"(9, 100, 100)",blur,7,2.4801879441757735,1.140402824314017
bilateralFilter,"(5, 75, 75)",boxFilter,3,0.4048677984821169,0.5774726762583381
bilateralFilter,"(5, 75, 75)",boxFilter,5,0.9454858136412344,0.7666783201067071
bilateralFilter,"(5, 75, 75)",boxFilter,7,1.869274743847353,1.0545434754145773
bilateralFilter,"(9, 100, 100)",boxFilter,3,1.763319022487849,1.035912447226675
bilateralFilter,"(9, 100, 100)",boxFilter,5,2.0217099484154266,1.0578226713757766
bilateralFilter,"(9, 100, 100)",boxFilter,7,2.4801879441757735,1.140402824314017
bilateralFilter,"(5, 75, 75)",dilate,3,0.47560852244496343,0.7651002971749556
bilateralFilter,"(5, 75, 75)",dilate,5,1.1186992628892,1.387128566440783
bilateralFilter,"(5, 75, 75)",dilate,7,2.2660432165586633,2.137891916224831
bilateralFilter,"(9, 100, 100)",dilate,3,2.0422485176964025,1.2721221679135373
bilateralFilter,"(9, 100, 100)",dilate,5,2.7520874541056783,1.6990861177444458
bilateralFilter,"(9, 100, 100)",dilate,7,3.414011980357923,1.8058105155041344
bilateralFilter,"(5, 75, 75)",erode,3,0.521609703491834,0.6690260366389625
bilateralFilter,"(5, 75, 75)",erode,5,1.804608829226345,1.1102350106364802
bilateralFilter,"(5, 75, 75)",erode,7,3.070173627765555,1.4241848161346033
bilateralFilter,"(9, 100, 100)",erode,3,1.5711307239914802,0.9851453395266282
bilateralFilter,"(9, 100, 100)",erode,5,1.9584307576652225,1.1107466565935236
bilateralFilter,"(9, 100, 100)",erode,7,2.858363461844917,1.3368375492723366
bilateralFilter,"(5, 75, 75)",filter2D,3,0.40486780052857574,0.5774726983747984
bilateralFilter,"(5, 75, 75)",filter2D,5,0.9454857924487442,0.7666782865398809
bilateralFilter,"(5, 75, 75)",filter2D,7,1.8692746118348287,1.0545434001244998
bilateralFilter,"(9, 100, 100)",filter2D,3,1.7633190796710552,1.0359124622846905
bilateralFilter,"(9, 100, 100)",filter2D,5,2.0217099619931296,1.0578227134127365
bilateralFilter,"(9, 100, 100)",filter2D,7,2.4801880918737305,1.1404028512929616
bilateralFilter,"(5, 75, 75)",GaussianBlur,3,0.3534717113723194,0.5572151629548324
bilateralFilter,"(5, 75, 75)",GaussianBlur,5,0.4942441060134259,0.6076769700175837
bilateralFilter,"(5, 75, 75)",GaussianBlur,7,0.7922869870573969,0.7051087530035721
bilateralFilter,"(9, 100, 100)",GaussianBlur,3,1.7341195466094896,1.0368515438155124
